entry_id,yes_parents,yes_children,christian_parents,christian_children,n_children,n_parents,answer_value,entry_name,year_from,christian_tradition,n_downstream,yes_downstream,christian_downstream,n_upstream,yes_upstream,christian_upstream
2086,1.0,,1.0,,,1.0,1.0,Mathnawi ma'nawi,1462,False,0,,,112,0.27,0.21
2087,0.4,1.0,0.4,0.0,3.0,10.0,1.0,"Al-Tabari’s interpretation of the Qur’an تفسير الطبري""جامع البيان في تأويل آي القرآن """,839,False,60,0.77,0.28,130,0.35,0.2
2092,0.82,1.0,0.27,0.0,1.0,11.0,1.0,Interpretation of Imam Ibn Arafaتفسير الامام ابن عرفة الورغمّي,1316,False,1,1.0,0.0,168,0.43,0.21
2101,1.0,1.0,0.0,0.67,3.0,3.0,1.0,"Le livre Fasl al-Maqal d'Ibn Rushd concernant le lien entre la sagesse et la charia""فصل المقال فيما بين الحكمة والشريعة من اتّصال",1126,False,14,0.93,0.29,137,0.39,0.19
2118,0.36,0.86,0.27,0.43,21.0,11.0,0.0,Samaritan Hymn by Amram Dare,200,False,119,0.74,0.31,85,0.15,0.14
2128,0.5,1.0,1.0,0.55,22.0,4.0,1.0,Paulicians,650,True,93,0.74,0.26,111,0.26,0.21
2140,0.44,0.5,0.44,0.5,2.0,9.0,0.0,"St. John Chrysostom, Homilies On the Incomprehensible Nature of God",347,True,109,0.74,0.28,92,0.15,0.15
2143,1.0,,0.5,,,6.0,1.0,City of God,410,True,0,,,94,0.18,0.18
2147,1.0,1.0,0.33,0.2,5.0,6.0,1.0,الدولة الحفصية Hafsid Dynasty,1229,False,7,1.0,0.14,164,0.43,0.21
2149,0.38,0.87,0.38,0.61,23.0,13.0,0.0,Judaism in Byzantium,330,False,110,0.74,0.28,91,0.15,0.15
2155,0.58,1.0,0.0,0.0,2.0,12.0,1.0,Lingbao Canon: Perfect Script in Five Tablets 五篇真文 and Jade Instruction Written in Red 赤書玉訣,500,False,89,0.73,0.21,111,0.26,0.2
2170,0.75,1.0,0.25,1.0,4.0,4.0,1.0,Liber Pontificalis,450,True,26,0.96,0.58,85,0.15,0.14
2177,0.17,0.33,0.08,0.0,3.0,12.0,0.0,The Covenant Ceremony in the Community Rule (1QS),-100,False,147,0.71,0.37,57,0.07,0.04
2181,0.2,0.3,0.1,0.3,10.0,10.0,0.0,Communal Petitions for Days of the Week: Prayer for Friday (4Q504),-150,False,149,0.7,0.37,55,0.07,0.04
2187,0.0,0.0,0.17,0.14,7.0,6.0,0.0,1 Samuel 2:1-10,-900,False,177,0.61,0.32,7,0.0,0.14
2190,0.0,0.36,0.1,0.36,22.0,10.0,0.0,Ezra 9,-400,False,157,0.68,0.35,42,0.0,0.05
2191,0.0,,0.0,,,5.0,0.0,Two Aramaic Mortuary Stelae from Nerab,-700,False,0,,,34,0.0,0.03
2232,1.0,,1.0,,,1.0,1.0,"Lollards, Lollard, the Lollard movement, Lollardism,  Lollardy, Wycliffites",1350,True,0,,,160,0.42,0.21
2236,0.5,1.0,0.42,0.0,1.0,12.0,1.0,الرّسالة المفصّلة لأحوال المتعلّمين وأحكام المعلّمين والمتعلّمين لأبي الحسن  علي القابسي,935,False,28,0.96,0.46,133,0.37,0.2
2243,0.67,0.35,0.0,0.12,17.0,12.0,1.0,Hui People,700,False,81,0.72,0.22,123,0.33,0.2
2245,0.0,1.0,1.0,0.5,4.0,1.0,1.0,صقلية الإسلامية Islamic Sicily,652,False,64,0.78,0.27,84,0.14,0.14
2246,0.67,1.0,0.33,0.08,12.0,3.0,1.0,المذهب الحنفي بالبلاد التونسية The Hanafi school in Tunisia,819,False,58,0.76,0.29,130,0.35,0.2
2247,0.0,1.0,1.0,0.0,1.0,1.0,1.0,الفتح العربي الإسلامي لشمال إفريقيا The Arab-Islamic Conquest of North Africa,647,False,87,0.72,0.22,84,0.14,0.14
2255,0.33,1.0,0.0,1.0,1.0,15.0,1.0,Dongxiang,1340,False,1,1.0,1.0,164,0.37,0.17
2258,0.6,1.0,0.47,0.0,2.0,15.0,1.0,"Livre  des Règle  de conduite des maîtres كتاب "" آداب المعلّمين  "" محمد ابن سحنون""",817,False,62,0.77,0.27,129,0.35,0.2
2262,0.67,,0.44,,,9.0,1.0,Le Commencement et la Fin البداية والنهاية de Ibn Kathir لابن كثير,1301,False,0,,,168,0.43,0.21
2263,0.91,0.67,0.18,0.0,3.0,11.0,0.0,"lettre au disciple Ayyuha-l-walad par Al Ghazâlî رسالة ""ايّها الولد لأبي حامد الغزالي",1058,False,42,0.81,0.4,143,0.38,0.19
2264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Puritans,1560,False,1,1.0,1.0,161,0.42,0.22
2265,0.0,0.8,1.0,0.2,10.0,1.0,1.0,القرآن الكريم Le Noble Coran,610,False,87,0.72,0.22,91,0.15,0.15
2272,0.82,0.5,0.18,0.0,4.0,11.0,1.0,Abou Hamid Al-Ghazali:   Le livre d'Al-Jam Al-Awam sur la science de la théologie الجام العوام عن علم الكلام,1058,False,43,0.79,0.4,142,0.37,0.19
2273,0.39,1.0,0.0,0.0,1.0,18.0,0.0,Yuan divination schools,1291,False,2,1.0,0.5,163,0.37,0.17
2280,0.0,0.0,0.0,0.0,1.0,6.0,0.0,Enki and Ninmaḫ,-1900,False,184,0.59,0.3,9,0.0,0.0
2285,0.0,0.0,0.0,0.0,1.0,6.0,0.0,Enki and Ninḫursaĝa,-1900,False,184,0.59,0.3,9,0.0,0.0
2290,1.0,1.0,0.5,0.0,4.0,6.0,0.0,الطريقة القادرية في مصر ق13م-ق21م,1200,False,9,1.0,0.11,158,0.41,0.2
2297,1.0,1.0,0.75,1.0,8.0,4.0,1.0,Waldensians (Waldenses),1173,True,19,1.0,0.53,157,0.41,0.2
2299,0.56,0.5,0.11,0.5,2.0,9.0,1.0,الحشاشين  ق11-ق13   =   Assassins   XI-XIII,1100,False,22,0.73,0.23,144,0.38,0.19
2308,0.5,,0.5,,,2.0,1.0,الفتح العربي الإسلامي للأندلس The Arab-Islamic Conquest of the Iberian Peninsula,711,False,0,,,123,0.33,0.2
2313,0.5,0.5,0.0,0.1,20.0,8.0,1.0,Dungan people,600,False,89,0.73,0.21,111,0.26,0.2
2322,0.58,0.71,0.32,0.29,7.0,19.0,1.0,الدّولة الأمويّة في المشرق  بين662 م و750م (The Umayyad State in the Mashriq from 662 to 750),661,False,86,0.72,0.22,122,0.32,0.2
2339,1.0,,0.0,,,1.0,0.0,Yorùbá Traditional Religion,1100,False,0,,,1,1.0,0.0
2348,0.0,0.0,0.0,0.15,13.0,1.0,0.0,Ancient Israelite Religion (Iron Age),-1200,False,182,0.59,0.31,1,0.0,0.0
2362,0.57,0.45,0.19,0.18,11.0,21.0,1.0,الدّولة السلجوقيّة(1037 م - 1194م),1037,False,51,0.73,0.33,141,0.37,0.19
2365,1.0,1.0,0.17,0.0,1.0,6.0,1.0,Moriscos,1502,True,1,1.0,0.0,168,0.43,0.21
2368,0.5,0.6,0.5,0.2,5.0,4.0,1.0,'Uyun akhbar al-Ridha de Shaykh as-Saduq عيون أخبار الرضا للشيخ الصدوق,992,False,52,0.73,0.33,127,0.34,0.2
23,,0.0,,0.0,1.0,,0.0,Late Shang Religion,-1250,False,156,0.67,0.29,0,,
230,,0.0,,0.0,26.0,,0.0,Religion in Mesopotamia,-3300,False,203,0.53,0.28,0,,
422,,0.56,,0.44,16.0,,0.0,Demeter Cult,-1500,False,176,0.61,0.32,0,,
485,,0.67,,0.67,3.0,,0.0,Sámi pre-Christian religion,500,False,27,0.93,0.56,0,,
738,,0.22,,0.25,36.0,,0.0,Ancient Egyptian,-3000,False,189,0.57,0.3,0,,
775,,0.46,,0.05,39.0,,0.0,Jainism,-600,False,178,0.65,0.31,0,,
852,,0.5,,0.5,2.0,,0.0,Pre-Christian Religion / Paganism in Ireland,-500,False,2,0.5,0.5,0,,
885,,0.0,,0.0,1.0,,1.0,Contemporary West African Vodun,-1960,False,1,0.0,0.0,0,,
937,,0.6,,0.47,15.0,,0.0,Vestal Virgins,-800,False,176,0.61,0.32,0,,
978,,0.5,,0.0,2.0,,1.0,Indonesian Catholicism,1500,True,2,0.5,0.0,0,,
1227,,0.33,,0.33,3.0,,0.0,Polytheistic Pre-Islamic South Arabia,-800,False,120,0.73,0.31,0,,
1626,,0.0,,0.0,5.0,,0.0,The Cult of Maritime Hera,-800,False,176,0.61,0.32,0,,
1810,,0.0,,0.0,1.0,,0.0,Shang Oracle Bone Inscriptions,-1200,False,156,0.67,0.29,0,,
2009,,0.56,,0.22,9.0,,0.0,Ancient Arcadians,-800,False,177,0.61,0.32,0,,
